"Description","Rooms","m_sq","Series","Price","Floor_nr","Max_floors","Hood","Street_a","Street"
"Mainam vai Pardodam 1ist. dzivokli. Dzivokli nepieciesams pilns","1",35,"602.",32000,2,9,"Vecmilgravis","Kalngales 9","Kalngales"
"Pardod 1-istabu dzivokli ar labu planojumu. 

+ zeme ir ipasuma","1",35,"Specpr.",38100,3,12,"Kengarags","Kaniera 18","Kaniera"
"Ïåðâûé ýòàæ, î÷åíü ñâåòëàÿ

(íàïðîòèâ íåò äîìîâ ïîáëèçîñòè)

ó ä","1",41,"Specpr.",49500,1,12,"Plavnieki","Keldisa 20","Keldisa"
"Tiek Pardots ekskluzivs 4-istabu dzivoklis Centra, Kr. Valdemara","4",100,"P. kara",230000,4,6,"Centrs","Valdemara 73","Valdemara"
"Plass, saulains, kluss divistabu dzivoklis, no kura paveras liel","2",48,"602.",51500,9,9,"Imanta","Anninmuizas 46","Anninmuizas"
"Çîëèòóäå, Óëèöà Ðóñåñ-24

 áëàãîóñòðîåííàÿ îçåëåí¸ííàÿ òåððèòîðè","3",79,"119.",93900,4,9,"Zolitude","Ruses 24","Ruses"
"Ïðîñòîðíàÿ êâàðòèðà - 96 m2 æèëàÿ ïëîùàäü, 21 ì2 áàëêîíû è ëîäæè","3",117,"Jaun.",155000,2,5,"Ziepniekkalns","Kaplavas 5","Kaplavas"
"Vienistabas dzivoklis ar malkas apkuri 1931. gada celta kiegelu","1",26,"P. kara",18900,1,3,"Ciekurkalns","Gaujas 37","Gaujas"
"Pardosana 3-istabu dzivoklis ar lodziju, netalu no t/c Arcada un","3",60,"467.",52700,3,9,"Vecmilgravis","Dombrovska 17","Dombrovska"
"Ïðåêðàñíûé ïàíîðàìíûé âèä èç îêíà íà ïðîìåíàä è ðåêó. Äîì ñïåöïð","1",36,"Specpr.",42000,9,12,"Kengarags","Kaniera 18","Kaniera"
"Pardodu 3 istabu dzivokli (68, 1m2) centra(Latgales priekspilset","3",68,"P. kara",70000,2,4,"Centrs","Dagdas 4","Dagdas"
"Ñîëíå÷íàÿ äâóõêîìíàòíàÿ êâàðòèðà ñ áàëêîíîì. Îêíà êâàðòèðû âûõîä","2",79,"P. kara",105000,3,4,"Centrs","Avotu 53","Avotu"
"Ïðîäà¸òñÿ ñâåòëàÿ óþòíàÿ 4-êîìíàòíàÿ êâàðòèðà ñ 3 èçîëèðîâàííûìè","4",104,"Jaun.",175000,7,13,"Jugla","Brivibas 386","Brivibas"
"Pardod labu dzivokli Jugla. Daleji izremontets. Gaze, mainiti ud","3",59,"Hrusc.",58200,5,5,"Jugla","Kveles 29","Kveles"
"Divistabu dzivoklis gleznaina vieta, zalumu ieskauta rajona, lot","2",51,"Cehu pr.",87000,7,12,"Mezaparks","Ezermalas 25","Ezermalas"
"Pardod gaisu divu izoletu istabu dzivokli Tornakalna. Pie majas","2",45,"LT proj.",56000,5,5,"Tornakalns","Vainodes 22","Vainodes"
"Sapratigs ieguldijums jaunizveidota kvartala pasa Rigas centra.","2",72,"Jaun.",260000,4,6,"Centrs","Antonijas 17A","Antonijas"
"Uzsakam Dzivoklu Pardosanu Artilerijas 26.



3D tures links pie","4",66,"Renov.",179990,4,4,"Centrs","Artilerijas 26","Artilerijas"
"Â êâàðòèðå áûë ñäåëàí êàïèòàëüíûé ðåìîíò - âî âñåé êâàðòèðå çàìå","4",77,"602.",93000,7,9,"Ziepniekkalns","Valdeku 52","Valdeku"
"Ðåäêèé ïðîåêò 2õ-êîìíàòíîé êâàðòèðû. Êîìíàòû èçîëèðîâàíû íà ðàçí","2",50,"602.",72500,2,9,"Imanta","Zentenes 18","Zentenes"
"Uzsakam Dzivoklu Pardosanu Artilerijas 26.



3D tures links pie","3",44,"Renov.",115000,2,3,"Centrs","Artilerijas 26a","Artilerijas"
"Tiek pardods 2 istabu dzivoklis, augstaja beletazas 1 stava. 

D","2",47,"Stalina",52500,1,2,"Kipsala","Gipsa 6","Gipsa"
"Kompakts dzivoklis ar ertibam. Loti gaiss, tris pakesu logi. Vei","1",17,"P. kara",16700,2,2,"Agenskalns","Darba 11A","Darba"
"Kompakts dzivoklis ar ertibam, cetru dzivoklu mura maja. Dubultu","1",25,"P. kara",24500,2,2,"Krasta"," Lubanas 15","Lubanas"
"Kompakts dzivoklis ar ertibam, cetru dzivoklu mura maja. Dubultu","1",29,"P. kara",28500,2,2,"Krasta"," Lubanas 15","Lubanas"
"Kompakts dzivoklis ar ertibam. Dubultu pakesu logi, dzelzs durvi","2",38,"P. kara",29900,1,2,"Centrs","Lienes 13","Lienes"
"Ipasnieks pardod pilniba mebeletu vienistabas dzivokli. Visas me","1",32,"602.",36000,2,9,"Mezciems","Hipokrata 35","Hipokrata"
"Tiek piedavats pardosanai 3 istabu dzivoklis Krasta ielas rajona","3",61,"467.",57000,1,9,"Krasta"," Maskavas 222B","Maskavas"
"Pardod divu istabu dzivokli ar logiem uz setu. Koka gridas un du","2",74,"P. kara",88800,3,5,"Centrs","Birznieka-Upisa 20B","Birznieka"
"Trisistabu dzivoklis sesu dzivoklu nama ar palsu teritoriju. Dzi","3",82,"P. kara",156000,3,3,"Mezaparks","Hamburgas 17","Hamburgas"
"Ïðîäàþ 1ê ñòóäèî òèïà, ôóíêöèîíàëüíþ è óäîáíóþ, 23.8m2 , â çåìåë","1",23,"Jaun.",45500,3,4,"Jugla","Murjanu 61A","Murjanu"
"Pardod 3-istabu dzivokli Riga, Andromedas gatve 7. Divas istabas","3",60,"LT proj.",49900,1,5,"Purvciems","Andromedas g. 7","Andromedas"
"Pardodam kvalitativi izremontetu 1-istabas studio tipa dzivokli","1",35,"P. kara",47555,4,5,"Centrs","Gertrudes 98","Gertrudes"
"Pardod renovetu, siltu vienistabas dzivokli pirmskara mura maja.","1",14,"P. kara",6900,3,3,"Vecmilgravis","Emmas 14","Emmas"
"Ja mekle sev vietu, ko saukt par majam, tad si ir briniskiga ies","2",50,"LT proj.",50400,5,5,"Purvciems","Andromedas g. 7","Andromedas"
"Pardod jauku, divu istabu dzivokli Rigas pasa centra - Brivibas","2",58,"P. kara",90000,2,5,"Centrs","Brivibas 111","Brivibas"
"Tiesi no ipasnieka. pardodu savu laimigu, plasu, labiekartoto, m","3",89,"Jaun.",128150,2,6,"Purvciems","Unijas 70","Unijas"
"Ñðî÷íî ïðîäþ óþòíóþ è òåïëóþ 3-õ êîìíàòíóþ êâàðòèðó áåç ïîñðåäíè","3",56,"Hrusc.",57500,5,5,"Kengarags","Prusu 23b","Prusu"
"Ipasnieks pardod plasu dzivokli projekta ""Duntes ozoli''. Dzivok","4",148,"Jaun.",198000,13,16,"Centrs","Duntes 28","Duntes"
"Tiek pardots plass 3-istabu dzivoklis pirmskara maja Kalnciema i","3",93,"P. kara",137000,6,6,"Agenskalns","Kalnciema 46","Kalnciema"
"Gazes apkure, panoramas skats, dizainera veidota apdare. 

5. st","6",133,"P. kara",297000,5,6,"Centrs","Stabu 29","Stabu"
"Mansarda tipa dzivoklis ar panoramas skatu Rigas sirdi - Vecriga","2",67,"P. kara",145000,5,5,"Centrs","Jekaba 26","Jekaba"
"Pardosana 2-istabu dzivoklis ar lodziju netalu no Anninmuizas pa","2",49,"LT proj.",45000,3,5,"Imanta","Kleistu 4","Kleistu"
"Çàâòðà ìîæåòå æèòü â îòëè÷íîé 3-õ êîìíàòíîé êâàðòèðå óë. Ìàñêàâà","3",71,"Stalina",102900,5,5,"Maskavas priekspilseta","Maskavas 180","Maskavas"
"Lieliska vieta Purvciema pardod 1-istabu dzivokli. 

Perfekta lo","1",39,"M. gim.",37500,1,5,"Purvciems","Ilukstes 54","Ilukstes"
"Pardosana 3 istabu (var parplanot ) dzivoklis loti laba un klusa","3",66,"P. kara",82500,4,6,"Centrs","Artilerijas 8","Artilerijas"
"Bez starpniekiem. 

Pardodam savu gaiso un majigo dzivokli, kura","4",100,"Specpr.",225000,2,5,"Centrs","Mikela 1","Mikela"
"Vienistabas dzivoklis jauna projekta eka. Dzivojama istaba divos","1",56,"Renov.",89900,7,7,"Teika","Brivibas 338","Brivibas"
"Tiesais saimnieks. 

Dzivokli pa visu otro stavu ar 7 fasedes lo","6",120,"P. kara",120000,2,2,"Centrs","Cesu 41-1","Cesu"
"Ñóïåð ïðåäëîæåíèå Ïðîäàåò õîçÿèí ñàìàÿ äåø¸âàÿ öåíà â ñàìîì öåíò","5",162,"Renov.",360000,2,6,"Centrs","Ausekla 5","Ausekla"
"Ñîáñòâåííèê ïðîäàåò 2-êîìíàòíóþ êâàðòèðó â ðàéîíå Áîòàíè÷åñêîãî","2",49,"Specpr.",62000,5,3,"Agenskalns","Rododendru 5","Rododendru"
"Pardod ekskluzivu 3 istabu dzivokli projekta Jauna Teika Riga,","3",124,"Jaun.",190000,5,9,"Teika","Ropazu 12","Ropazu"
"Pardod gaisu trisistabu dzivokli centra. Dzivoklis sastav no div","3",76,"P. kara",105000,3,5,"Centrs","Valdemara 119","Valdemara"
"Ipasnieks pardod studijas tipa vienistabas dzivokli Ciekurkalna","1",30,"Hrusc.",40000,5,5,"Ciekurkalns","Ciekurkalna 1. l. 1","Ciekurkalna"
"Ïðîäà¸ì êâàðòèðó ñ ë¸ãêèì ñåðäöåì è îò âñåé äóøè. 

Íåâåðîÿòíûé","2",51,"602.",60000,7,9,"Mezciems","Hipokrata 41","Hipokrata"
"Pardosana 2 istabu dzivoklis tikko renoveta koka eka. 



+ Dziv","2",35,"Renov.",66120,2,2,"Centrs","Artilerijas 71","Artilerijas"
"Pardosana 2 istabu dzivoklis tikko Renoveta koka eka. 

+ Dzivok","2",38,"Renov.",70670,1,2,"Centrs","Artilerijas 71","Artilerijas"
"Pardod specprojekta maja trisistabu dzivokli, visas istabas izol","3",74,"Specpr.",70000,4,5,"Maskavas priekspilseta","Kraslavas 1","Kraslavas"
"11% ienesigums. Pardodam darbojosos ires objektu ar 11% ienesigu","2",28,"Hrusc.",52500,1,3,"Teika","Kursu 25","Kursu"
"Gaiss un majigs dzivoklis pec kosmetiska remonta. Dzivoklis ar d","2",29,"P. kara",21500,2,2,"Tornakalns","Vienibas g. 66","Vienibas"
"Pardodas 2 istabu dzivoklis projekta ""Solaris"". 

Dzivojama ista","2",46,"Jaun.",84900,8,24,"Imanta","Anninmuizas 43","Anninmuizas"
"Piedavaju iegadaties gaisu un saulainu 2-istabu dzivoklis ""Zieme","2",35,"Renov.",53600,2,4,"Vecmilgravis","Emmas 28","Emmas"
"Tiek pardots 3 - istabu dzivoklis renoveta maja ""Elizabetes Rezi","3",72,"Renov.",179000,4,6,"Centrs","Elizabetes 22","Elizabetes"
"Ïðîäàåòñÿ äâóõ-ýòàæíûé ïåíòõàóñ ñ ïðåêðàñíûì âèäîì íà ëåñîïàðêîâ","5",200,"Jaun.",170000,10,10,"Jugla","Ciemupes 1","Ciemupes"
"Ïðîäàþ äâóõêîìíàòíóþ êâàðòèðó, ðàñïîëîæåííóþ íà ïåðâîì ýòàæå äâó","2",63,"Stalina",79000,1,2,"Sarkandaugava","Viestura pr. 85","Viestura"
"Pardod gaisu studijas tipa vienistabas dzivokli mieriga Rigas ra","1",29,"P. kara",27000,2,2,"Centrs","Vagonu 24","Vagonu"
"Ipasnieks pardod saulainu, gaisu un siltu 1-istabu dzivokli vien","1",32,"602.",39000,1,9,"Mezciems","Druvienas 36","Druvienas"
"Ïðîäàåòñÿ ñâåòëàÿ, ñîëíå÷íàÿ 3 êîìíàòíàÿ êâàðòèðà â òèõîì öåíòðå","3",65,"Jaun.",147000,5,7,"Centrs","Miera 93","Miera"
"Ipasnieks pardod majigu labi aprikota un mebeleta dzivokli ar sk","1",41,"M. gim.",41500,5,9,"Plavnieki","Dzenu 14","Dzenu"
"Pardodu nevis stura, sausu un siltu 2 istabu dzivokli ar izoleta","2",50,"P. kara",60980,3,5,"Centrs","Lacplesa 62/66","Lacplesa"
"Pardodam majigu 3 ist. dzivokli Ilguciema 55 m2, atrodas kiegelu","3",55,"Hrusc.",57000,2,5,"Ilguciems","Lilijas 17a","Lilijas"
"Pardod modernu divstavu dzivokli Teika, Bajaru iela kotedza tipa","5",154,"Jaun.",185000,1,3,"Teika","Bajaru 59","Bajaru"
"Ipasnieks pardod saulainu 3 istabu divstavigu dzivokli projekta","3",104,"Jaun.",126000,1,5,"Tornakalns","Jelgavas 63","Jelgavas"
"Ïðîäàþ 2-êîìíàòíóþ êâàðòèðó, ñî âñåìè óäîáñòâàìè. Ñâÿçü ïðåäïî÷è","2",49,"602.",65000,9,9,"Mezciems","Hipokrata 37/34","Hipokrata"
"Ipasnieks pardod divistabu dzivokli ar tikko veiktu remontu, jau","2",43,"P. kara",41500,2,2,"Tornakalns","Ludvika 6","Ludvika"
"Ipasnieks pardod 1-istabas dzivokli Teika. Dzivoklis gaiss un ko","1",21,"Specpr.",34900,2,5,"Teika","Talivalza 20 k1","Talivalza"
"Pardod vienistabas dzivokli laba stavokli pirmskara maja ar visa","1",35,"P. kara",45900,2,5,"Centrs","Valdemara 159","Valdemara"
"Elegants dzivoklu eku projekts Parker's. 



Piedavajam piecu is","5",155,"Jaun.",481400,4,7,"Centrs","Valdemara 41","Valdemara"
"Ipasnieks pardod gaisu, majigu un nesen remontetu cetru istabu d","4",79,"602.",86000,8,9,"Ziepniekkalns","Ozolciema 32","Ozolciema"
"Ïðîäà¸òñÿ 4-õ êîìíàòíàÿ êâàðòèðà 148.2 m2 â äîìå êëóáíîãî òèïà,","4",167,"Renov.",175000,2,2,"Jugla","Silciema 14B","Silciema"
"Uzsakam Dzivoklu Pardosanu Artilerijas 26.



3D tures links pie","2",41,"Renov.",112000,3,4,"Centrs","Artilerijas 26","Artilerijas"
"Âëàäåëåö ïðîäàåò òåïëóþ ñóõóþ, ñîëíå÷íóþ 3 êîìíàòíóþ êâàðòèðó â","3",69,"Stalina",90000,2,5,"Agenskalns","Daugavgrivas 68à","Daugavgrivas"
"Êëàññèêà - Êâàðòèðà â Òèõîì öåíòðå



Îïèñàíèå: 

- êâàðòèðà ñ ï","3",109,"Renov.",275000,5,6,"Centrs","Valdemara 37","Valdemara"
"Âëàäåëåö ïðîäàåò òåïëóþ, ñóõóþ, ñîëíå÷íóþ 3 êîìíàòíóþ êâàðòèðó â","3",69,"Stalina",90000,2,5,"Dzeguzkalns","Daugavgrivas 68à","Daugavgrivas"
"Jauns 3 istabu dzivoklis Elizabetes iela 22



Apraksts:

- vies","3",72,"Renov.",179000,4,6,"Centrs","Elizabetes 22","Elizabetes"
"×åòûêîìíàòíàÿ êâàðòèðà ñ òåððàñîé â ïðîåêòå Centrus. 



Ïîëíàÿ","4",112,"Jaun.",325000,2,7,"Centrs","Dzirnavu 83","Dzirnavu"
"Øèêàðíûé âèä èç îêíà, ìîæíî ñìîòðåòü ñàëþò íå âûõîäÿ èç äîìà. Îñ","2",46,"Cehu pr.",52500,12,12,"Krasta"," Kojusalas 17","Kojusalas"
"Âëàäåëåö ïðîäàåò òåïëóþ, ñóõóþ, ñîëíå÷íóþ 3 êîìíàòíóþ êâàðòèðó â","3",69,"Stalina",90000,2,5,"Ilguciems","Daugavgrivas 68à","Daugavgrivas"
"Pardodam nelielu divistabu dzivokli veca mezaparka sirdi, lidz z","2",34,"Priv. m.",45800,1,2,"Mezaparks","Libekas 12","Libekas"
"Pardodu izremontetu, pilnigi mebeletu un ar sadzives tehniku - 3","3",69,"Specpr.",95550,1,5,"Centrs","Hospitalu 7","Hospitalu"
"Âëàäåëåö ïðîäà¸ò ïðèâàòèçèðîâàííóþ êâàðòèðó â ðàéîíå áóìàæíîé ôà","1",19,"P. kara",10500,2,2,"Breksi","Nautrenu 20","Nautrenu"
"Piedavajam iegadaties dzivokli projekta San Antonia, kas atrodas","2",58,"Renov.",150000,2,6,"Centrs","Antonijas 11","Antonijas"
"Dzivoklis ir pec kapitala remonta atbilstosi eiro standartiem -","2",42,"Hrusc.",52500,4,5,"Jugla","Brivibas 391/2","Brivibas"
"Pardod gaisu, plasu dzivokli pie Kalnciema kvartala. 

 Dzivokli","3",99,"P. kara",129000,4,5,"Agenskalns","Kalnciema 32a","Kalnciema"
"×èñòûé îòðåìîíòèðîâàííûé ïîäúåçä, òèõèé äâîð, êâàðòèðà áåç ðåìîí","1",39,"M. gim.",30000,1,5,"Darzciems","Sitas 48","Sitas"
"Pardod gaisu vienistabas dzivokli Ziepniekkalna (mazgimenu proje","1",45,"M. gim.",40000,3,9,"Ziepniekkalns","Ozolciema 48","Ozolciema"
"Pardod divistabu dzivokli Agenskalna. Pie majas ir auto stavviet","2",42,"Hrusc.",63500,1,5,"Agenskalns","Ranka d. 7/3","Ranka"
"Ïðîäàþ 1-þ êâàðòèðó, â öåíòðå Ñàðêàíäàóãàâû, Çåì. êíèãà, 32 êâ.","1",32,"P. kara",38400,3,5,"Sarkandaugava","Patversmes 5","Patversmes"
"Êâàðòèðà-ñòóäèÿ íà 2 ýòàæå äîìà, 45ì2 òîëüêî ÷òî ïîñëå êàïèòàëüí","1",41,"Stalina",67000,2,4,"Maskavas priekspilseta","Lomonosova 7","Lomonosova"
"Ïðîñòîðíàÿ êâàðòèðà ñ äâóìÿ èçîëèðîâàííûìè êîìíàòàìè (14, 6 ì2 è","3",67,"LT proj.",62000,1,5,"Vecmilgravis","Melidas 6","Melidas"
"Pardodas dzivokli lieliska stavokli ar kvalitativu remontu, gais","3",65,"103.",105000,3,5,"Darzciems","Rumbulas 18","Rumbulas"
"Piedavajam iegadaties 3 istabu dzivokli 72, 30 kvm kas atrodas 3","3",72,"Specpr.",85000,3,9,"Plavnieki","Zebiekstes 5","Zebiekstes"
"Dzivoklis ar skatu. 

Pardod plasu, gaisu 3 istabu dzivokli Cehu","3",83,"Cehu pr.",65900,12,12,"Daugavgriva","Birzes 30","Birzes"
"Koñìåòè÷åñêèé ðåìîíò. Kêâàðòèðà ñâåòëàÿ, ñîëíå÷íàÿ, òåïëàÿ, íå ó","2",42,"Hrusc.",45000,4,5,"Maskavas priekspilseta","Reznas 7","Reznas"
"Eiroremonts. Divas pilniba izoletas istabas. Atdalita tualete un","2",50,"467.",57000,9,9,"Ilguciems","Dzirciema 59","Dzirciema"
"Iespejams sis dzivoklis bus vieta, kuru sauksiet par savam majam","3",104,"Jaun.",159000,4,6,"Ziepniekkalns","Bikstu 6","Bikstu"
"Ïðîäàåòñÿ ñîëíå÷íàÿ, íå óãëîâàÿ êâàðòèðà â îòëè÷íîì ñîñòîÿíèè.","2",51,"LT proj.",50500,3,5,"Vecmilgravis","Emmas 19","Emmas"
"Ïðîäàåòñÿ êâàðòèðà ñ õîðîøèì ðåìîíòîì. Êîìíàòû 20, 8+21, 9+15, 2","3",80,"Stalina",68000,2,2,"Vecmilgravis","Rupnicas 14","Rupnicas"
"Pardod plasu 2 istabu dzivokli, ar dzivosanas prieksrocibam ka p","2",86,"Jaun.",125000,1,4,"Juglam"," Juglas 3a","Juglas"
"Pardod 4 istabu plasu dzivokli Teika. 



Dzivoklis sastav no:","4",92,"Specpr.",135000,2,5,"Teika","Vairoga 27","Vairoga"
"Zeme ipasuma, dzivoklis bez apgrutinajumiem. Divas lodzijas. Nav","4",84,"103.",1e+05,2,5,"Purvciems","Unijas 24","Unijas"
"Remontejams divistabu dzivoklis. Viena izoleta gulamistaba, vies","2",41,"Hrusc.",32000,2,3,"Ziepniekkalns","Sterstu 5","Sterstu"
"Pardod A. Kalnina iela 4 mebeletu, saulainu fasades dzivokli 124","3",124,"P. kara",232000,4,6,"Centrs","Kalnina 4","Kalnina"
"Plass divistabu dzivoklis ar balkonu kiegelu maja. Zeme ipasuma.","2",49,"Specpr.",58000,1,5,"Centrs","Tomsona 32","Tomsona"
"Êâàðòèðà ñ êîñìåòè÷åñêèì ðåìîíòîì. Ñòåêëîïàêåòû, æåëåçíàÿ äâåðü.","2",42,"Hrusc.",44000,1,4,"Centrs","Upes 3","Upes"
"Pardod zinatnieku koperativam buvetu majaa divistabas dzivokli.","2",52,"602.",57700,1,9,"Purvciems","Vejavas 10/1","Vejavas"
"Ziepniekkalna centra vienistabas dzivoklis



+ Dzelzs ardurvis","1",30,"Hrusc.",30000,1,5,"Ziepniekkalns","Valdeku 5","Valdeku"
"Tiek pardots plasss, silts un saulains 3-istabu mebelets dzivokl","3",68,"LT proj.",78000,4,5,"Purvciems","Ilukstes 58","Ilukstes"
"Tiek pardots 37.3 kv/m divistabu dzivoklis divstavu majas otraja","2",37,"P. kara",20000,2,2,"Katlakalns","Bauskas 151","Bauskas"
"Ïðîäàåòñÿ ñâåòëàÿ, òåïëàÿ êâàðòèðà ñðàçó ïîñëå êàïèòàëüíîãî ðåìî","2",50,"602.",68500,6,9,"Imanta","Slokas 136","Slokas"
"Piedavajuma plass 3-istabu dzivoklis Purvciema. Erts planojums ","3",74,"119.",80000,3,9,"Purvciems","Nicgales 31","Nicgales"
"Dzivoklis ar zemi ipasuma blakus t/c Zoom. Ir pieejams ari pagra","2",37,"LT proj.",29900,1,5,"Kengarags","Maskavas 419","Maskavas"
"Pilniba remontets studio tipa dzivoklis ar atsevisku ieeju ekas","1",43,"Specpr.",31500,1,9,"Bolderaja","Plata 22","Plata"
"Pardodam trisistabu dzivokli ar balkonu. Logi versti uz divam ma","3",56,"Specpr.",63500,5,5,"Sampeteris-Pleskodale","Volguntes 21","Volguntes"
"Virtuve un istaba kopa - studio tipa un 3 kv. m. telpa tualetei","1",18,"P. kara",7780,1,2,"Ilguciems","Tvaikonu 2","Tvaikonu"
"Pardodu 1 istabas dzivokli klusa vieta, kiegelu maja, ezera kras","1",13,"P. kara",7890,2,3,"Jugla","Dzirnupes 1","Dzirnupes"
"Pagalms, vieta automasinai. Vajadzigs remonts. 

Zeme ipasuma. S","1",27,"P. kara",12890,2,2,"Sarkandaugava","Ziemelu 23","Ziemelu"
"Pardodu modernu, plasu un loti saulainu 2 istabu studio tipa dzi","2",65,"Jaun.",114000,9,9,"Plavnieki","Ulbrokas 12/3","Ulbrokas"
"Majas dala, ar lielisku skatu, atseviska ieeja, kopa tris ieejas","6",117,"Priv. m.",68790,1,2,"Sampeteris-Pleskodale","Volguntes 16B","Volguntes"
"Pardodas kvalitativi izremontates dzivoklis pec kapitala remonta","2",54,"Stalina",95000,5,5,"Centrs","Dzirnavu 151","Dzirnavu"
"Attistitajs pardod dzivoklus ar premium klases apdari Rigas vest","2",53,"Renov.",163370,6,7,"Centrs","Blaumana 12","Blaumana"
"Pardod plasu un saulainu 4 istabu penthaus dzivokli Zolitude, Li","4",180,"Jaun.",269000,4,4,"Zolitude","Liedes 2","Liedes"
"Fasades maja un labiekartota apzalumota teritorija, slegts pagal","3",72,"P. kara",64800,2,2,"Tornakalns","Dika 2","Dika"
"Dzivoklis ka namins, kaiminus nedzird, atseviska ieeja no ielas,","2",40,"P. kara",75000,1,2,"Agenskalns","Martina 5","Martina"
"Pardod 3 istabu dzivokli lieliska vieta Plavniekos.  

+ 2. stav","3",63,"602.",63800,2,9,"Plavnieki","Plavnieku 3","Plavnieku"
"4-õ êîìíàòíàÿ êâàðòèðà, òðè ñïàëüíè, ãîñòèíàÿ, î÷åíü áîëüøàÿ êóõ","4",72,"602.",75000,1,9,"Purvciems","Stirnu 35","Stirnu"
"Iespejams, skaistakais 2-istabu dzivoklis Vermandarza apkartne r","2",30,"Renov.",76000,1,5,"Centrs","Merkela 7","Merkela"
"Saimniece pardod loti majigu, gaisu, skaistu trisistabu dzivokli","3",45,"Renov.",118000,7,7,"Centrs","Valdemara 57/59","Valdemara"
"Attistitajs Yit Latvija, piedava iegadaties 1-istabu dzivokli ja","1",35,"Jaun.",67600,7,7,"Purvciems","Upenu 21","Upenu"
"Ðÿäîì ñ Ìåæàïàðêîì ïðîäàåòñÿ 3-êîìíàòíàÿ êâàðòèðà ïîñëå êàïèòàëü","3",43,"Hrusc.",48000,1,2,"Aplokciems","Ciekuru 6","Ciekuru"
"Bez starpniekiem tiek pardots gaiss un silts studio tipa dzivokl","2",46,"P. kara",74600,2,5,"Centrs","Caka 104","Caka"
"Â ñàìîì öåíòðå Ñòàðîé Ðèãè ïðåäëàãàåì ïðèîáðåñòè 2-êîìíàòíóþ êâà","2",36,"Renov.",94000,2,5,"Vecriga","Smilsu 14","Smilsu"
"Pardosana izremontets vienistabas dzivoklis ar lodziju. 

Dzivok","1",41,"M. gim.",40000,5,5,"Plavnieki","Ulbrokas 10","Ulbrokas"
"Attistitajs Yit Latvija, piedava iegadaties 1-istabu dzivokli ja","1",35,"Jaun.",68500,6,7,"Purvciems","Upenu 21","Upenu"
"Aprikots trisistabu dzivoklis ar pilnu apdari jaunaja rekonstrue","3",83,"Renov.",315000,2,6,"Centrs","Ausekla 14","Ausekla"
"Tiek pardots divu istabu dzivoklis Lacplesa iela pie Avotu ielas","2",73,"P. kara",94700,3,5,"Centrs","Lacplesa 62","Lacplesa"
"Mazs silts un miligs dzivoklis gaida jaunus ipasniekus. Mazais v","1",34,"P. kara",27300,2,2,"Bierini","Abavas 1","Abavas"
"Balkons, panoramas skats. 

Briniskigs, plass dzivoklis fasades","3",126,"P. kara",290000,5,6,"Centrs","Baznicas 13","Baznicas"
"Ipasnieks pardod atbrivotu 2-istabu dzivokli Krasta ielas rajona","2",51,"467.",47400,5,9,"Krasta"," Maskavas 222c","Maskavas"
"Tiek pardots plass 5 (piecu) istabu dzivoklis S. Eizensteina iel","5",95,"602.",97000,1,9,"Mezciems","Eizensteina 41","Eizensteina"
"Rigas vesturiskaja centra ir iespeja iegadaties plasu, majigu dz","5",140,"Renov.",238000,6,6,"Centrs","Gertrudes 30","Gertrudes"
"Ïðîäà¸òñÿ 1-êîìíàòíàÿ êâàðòèðà â îáû÷íîì ñîñòîÿíèè. 

""Ñòàëèíêà""","1",30,"Stalina",29900,2,4,"Vecmilgravis","Emmas 30","Emmas"
"Pardodu loti majigu, studio tipa dzivokli ar visu iedzivi. 

Lot","1",49,"Jaun.",79000,4,5,"Ciekurkalns","Ciekurkalna 2. sk l. 4","Ciekurkalna"
"Deglava Gleznotaju rezidence ir sis apburosas pilsetas vel neatk","4",86,"Jaun.",156972,2,10,"Plavnieki","Deglava 148","Deglava"
"Deglava Gleznotaju rezidence ir sis apburosas pilsetas vel neatk","1",33,"Jaun.",55500,5,10,"Plavnieki","Deglava 148","Deglava"
"Ïðîäà¸òñÿ ïðîñòîðíàÿ íå óãëîâàÿ 1 êîìíàòíàÿ êâàðòèðà 43 ì2. Ñ õî","1",43,"M. gim.",36000,5,5,"Vecmilgravis","Stiebru 7","Stiebru"
"Ipasnieks pardod 2 limenu dzivokli 174 m2 (lietderiga platiba 14","6",172,"P. kara",297000,5,5,"Centrs","Stabu 29","Stabu"
"Ëàìèíàò, ñòåêëîïàêåòû, ñàíòåõíèêà, âñòðîåííûé øêàô â ïðèõîæåé.","1",42,"M. gim.",31500,2,5,"Purvciems","Andromedas g. 5à","Andromedas"
"Vienistabas dzivoklis centra pec kapitala remonta. Visas ertibas","1",23,"P. kara",33000,3,5,"Centrs","Lacplesa 118","Lacplesa"
"Pardod 2 istabu dzivokli 3.stava jaunaja projekta Imantas Perle.","2",54,"Jaun.",95000,3,16,"Imanta","Kleistu 11/1","Kleistu"
"Dizainera iekartots Dzivoklis Centra ar terasi. 



Dzivoklis ir","4",245,"P. kara",370000,1,5,"Centrs","Stabu 29","Stabu"
"Plass 4 istabu dzivoklis Rigas centra dala, kura strauji attista","4",115,"Jaun.",165000,3,6,"Centrs","Maskavas 16","Maskavas"
"Renoveta koka arhitekturas perle Artilerijas iela 71.



Tiek pa","2",34,"Renov.",62345,1,2,"Centrs","Artilerijas 71","Artilerijas"
"Renoveta koka arhitekturas perle Artilerijas iela 71.



Pardoma","2",37,"Renov.",69730,2,2,"Centrs","Artilerijas 71","Artilerijas"
