"Description","Rooms","m_sq","Series","Price","Floor_nr","Max_floors","Hood","Street_a","Street"
"Pardod plasu 3 istabu dzivokli. 

+ Tris izoletas istabas; 

+ A","3",80,"Stalina",110000,3,4,"Agenskalns","Slokas 33","Slokas"
"Pardodam 3- istabu dzivokli jaunaja projekta Purvciema ar savu p","3",67,"Jaun.",137500,2,12,"Purvciems","Stirnu 4","Stirnu"
"Dzivoklis ar lodziju otraja stava blakus bernudarzam un skolai.","3",55,"LT proj.",52500,2,5,"Vecmilgravis","Skuju 8","Skuju"
"Ïðîäà¸òñÿ ñóõàÿ, ñîëíå÷íàÿ, íåóãëîâàÿ 2õ êîìíàòíàÿ êâàðòèðà.","2",50,"602.",42300,1,9,"Darzciems","Slavu 15","Slavu"
"Ïðîäàåòñÿ êâàðòèðà ñ ïîëíîé îòäåëêîé, ñî âñòðîåííîé êóõíåé, ìåáå","3",63,"Jaun.",76772,1,5,"Kengarags","Prusu 4","Prusu"
"Majigs dzivoklis klusa rajona. Laba atrasanas vieta, plasa infra","1",42,"M. gim.",34000,5,5,"Ciekurkalns","Rusova 26","Rusova"
"Iela, kura renoveta senlaiciga stila, tiek piedavatas dzivojamas","1",18,"Renov.",18000,1,3,"Centrs","Plavas 4","Plavas"
"Visas labiericibas - apkure, ir tualete. Ak Agenskalns, si vide,","1",19,"Specpr.",21690,2,4,"Agenskalns","Kristapa 14","Kristapa"
"Ipasnieks pardod vienistabas dzivokli. Krasns apkure. Kanalizaci","1",21,"P. kara",10890,1,2,"Maskavas priekspilseta","Maskavas 219","Maskavas"
"Iela, kura renoveta senlaiciga stila, tiek piedavatas dzivojamas","2",43,"Renov.",43000,1,3,"Centrs","Plavas 4","Plavas"
"Dalejs remonts, jauna grida, dusas kabinei sienina. Jauni tris l","2",34,"P. kara",7380,1,2,"Vecmilgravis","Emmas 24","Emmas"
"Ïðîäàåòñÿ óþòíàÿ, ò¸ïëàÿ êâàðòèðà â ñïåöïðîåêòå. Ðàçâèòàÿ èíôðàñ","2",48,"Specpr.",55000,4,5,"Darzciems","Rezeknes 2","Rezeknes"
"Sakam dzivoklu rezervacijas, tiek piedavats dzivoklis ar peleko","3",56,"Renov.",101520,3,6,"Centrs","Blaumana 9","Blaumana"
"Tiek pardots gaiss 3 istabu dzivoklis Rigas centra, Aleksandra C","3",71,"P. kara",85000,5,5,"Centrs","Caka 110","Caka"
"Êâàðòèðà â ñòàäèè ðåìîíòà. Çâîíèòå, ïèøèòå whatsapp äëÿ ïîäðîáíî","3",57,"467.",68000,2,9,"Krasta"," Maskavas 224","Maskavas"
"Dzivoklis ar plasu lodziju un pagrabu viena no pieprasitakajam 1","2",55,"103.",42200,1,5,"Vecmilgravis","Rinuzu 15","Rinuzu"
"Ïðîäàåòñÿ 4-êîìíàòíàÿ êâàðòèðà â Òèõîì öåíòðå ñ ïàðêîâêîé â ïðîå","4",141,"Jaun.",340000,6,6,"Centrs","Rupniecibas 34A","Rupniecibas"
